РПД,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
РПД_000109138.docx,Б1.В.ДВ.07.01 «Управление национальной обороной»,«Управление национальной обороной»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,7,['Безопасность жизнедеятельности'],0.35127634890018317,0.460081511221633,0.41184297603502
РПД_000096828.docx,Б1.В.01 «Экономическая теория (макроэкономика)»,«Экономическая теория (макроэкономика)»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,3,[],0.48855882124320316,0.6244502995684011,0.5159191918282312
РПД_000096458.docx,Б1.В.ДВ.07.02 «Взаимодействие органов власти с НКО»,«Взаимодействие органов власти с НКО»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,6,"['Переговорный процесс', 'Цифровой маркетинг', 'Цифровое государство']",0.30225514571313855,0.5671404436742052,0.45003779233828556
РПД_000086460.docx,Б1.В.10.03 «Международное право»,«Международное право»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,5,[],0.387809303362422,0.33425298225947897,0.6157869823624192
РПД_000087501.docx,К.М.01.02 «Физическая культура и спорт»,«Физическая культура и спорт»,«Государственная и муниципальная служба»,бакалавр,очная,2022,"1, 2",[],0.3099274436370235,0.6437724397020991,0.33113133326007166
РПД_000109153.docx,"Б1.В.22.ДВ.03.0 «Практикум ""Анализ внутренней политики в субъекте Российской Федерации""»","«Практикум ""Анализ внутренней политики в субъекте Российской Федерации""»",«Внутренняя политика и лидерство»,бакалавр,очная,2022,7,"['Прогнозирование и планирование', 'Цифровое общество и управление цифровой репутацией', 'Цифровое общество, введение в искусственный интеллект и разговорные боты']",0.25518830275578736,0.432369356464916,0.3697503929648302
РПД_000076396.docx,Б1.В.ДВ.03.01 «Механизмы разрешения конфликтов в системе государственного и муниципального управления»,«Механизмы разрешения конфликтов в системе государственного и муниципального управления»,«Эффективное государственное управление»,бакалавр,очная,2022,7,[],0.3200119369774922,0.3488432633512621,0.47829886299689456
РПД_000077331.docx,ФТД.В.02 «Социально-психологическая адаптация инвалидов и лиц с ограниченными возможностями»,«Социально-психологическая адаптация инвалидов и лиц с ограниченными возможностями»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,2,[],0.24890993009365636,0.3142065304314237,0.3100505286158343
РПД_000107052.docx,ФТД.ДВ.01.01 «Образовательная среда»,«Образовательная среда»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.29284157615146406,0.42272667335656877,0.35727781287670596
РПД_000087198.docx,Б1.В.18.02 «Статистика»,«Статистика»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,4,[],0.5172773016175362,0.7366461913620177,0.5570485960923335
РПД_000106612.docx,Б1.В.09 «Государственная и муниципальная социальная политика»,«Государственная и муниципальная социальная политика»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,5,[],0.3241142232881487,0.45355205518466984,0.5791021966436545
РПД_000083264.docx,Б1.В.06 «Экономика государственного и муниципального сектора»,«Экономика государственного и муниципального сектора»,«Государственная и муниципальная служба»,бакалавр,очная,2022,4,[],0.4163345013821983,0.47444221479920795,0.5296279244660237
РПД_000107832.docx,Б1.В.19.ДВ.01.0 «Лидерство на государственной службе»,«Лидерство на государственной службе»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,5,[],0.4007848928074864,0.5629688997888926,0.4077266707963453
РПД_000076382.docx,ФТД.ДВ.01.02 «Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья»,«Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья»,«Цифровое государство»,бакалавр,очная,2022,1,[],0.5172773016175362,0.6444817071339878,0.49093929863804076
РПД_000107635.docx,Б1.О.28 «Основы национальной безопасности»,«Основы национальной безопасности»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,5,"['Цифровое общество, введение в искусственный интеллект и разговорные боты', 'Цифровое общество и управление цифровой репутацией', 'Высшая математика']",0.3929003204354287,0.4786034267164769,0.0
РПД_000082694.docx,Б1.В.ДВ.08.02 «Управление государственными целевыми программами»,«Управление государственными целевыми программами»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,8,[],0.5598077872447053,0.5990918875230362,0.6570704438842127
РПД_000076479.docx,Б1.О.15 «Прогнозирование и планирование»,«Прогнозирование и планирование»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,5,[],0.5553145903076401,0.5953217834629484,0.5029614604843932
РПД_000089374.docx,Б1.В.ДВ.01.01 «Теория и история наций и национальных отношений»,«Теория и история наций и национальных отношений»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,4,[],0.3020848502034539,0.2835282862244734,0.7566031434862751
РПД_000082493.docx,Б1.В.ДВ.02.01 «Европейское сотрудничество в области защиты прав человека (Droit public européen des droits de l’homme)»,«Европейское сотрудничество в области защиты прав человека (Droit public européen des droits de l’homme)»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,6,[],0.4331990812005194,0.5479335970456624,0.649148426459983
