,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
2787,ФТД.ДВ.01.01 «Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,1,[],0.4518449822197724,0.4210264161944591,0.5340095542179691
2788,Б1.В.ДВ.03.01 «Государственные и муниципальные закупки»,«Государственные и муниципальные закупки»,«Цифровое государство»,бакалавр,очная,2022,6,[],0.5172773016175362,0.5713006970265941,0.634137910813112
2789,К.М.09.ДВ.02.01 «Управление изменениями»,«Управление изменениями»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,6,[],0.44368401513239697,0.4856531817975634,0.3346438427442835
2790,Б1.О.09.03 «Основы системного мышления»,«Основы системного мышления»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.49000011712900665,0.0,0.557736281039723
2791,Б1.В.07.06 «Организация проектного офиса»,«Организация проектного офиса»,«Управление государственными проектами и программами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,['Методология управления проектами'],0.3761200265292414,0.4480082990935085,0.44950207481449445
2792,Б1.В.06.ДВ.02.0 «Геополитика»,«Геополитика»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,7,[],0.48023933825356196,0.6376845377963736,0.5719172997555692
2793,Б1.В.04 «Психология управления»,«Психология управления»,«Эффективное государственное управление»,бакалавр,очная,2022,5,[],0.3832444375982901,0.359537396235558,0.604280421175216
2794,Б1.О.15 «Прогнозирование и планирование»,«Прогнозирование и планирование»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,7,[],0.5553145903076401,0.5953217834629484,0.5089321569855799
2795,Б1.В.17.ДВ.05.0 «Коммуникационный консалтинг»,«Коммуникационный консалтинг»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,7,"['Технологии формирования имиджа', 'Профессиональные творческие студии']",0.41276480755942896,0.35352382997725584,0.558391217853391
2796,Б1.В.12 «Информационное право»,«Информационное право»,«Цифровое государство»,бакалавр,очная,2023,4,"['Стратегические платформы цифровых инноваций', 'Управленческие лаборатории и бизнес навыки']",0.7226952585338268,0.674426825357395,0.6228109378663844
2797,К.М.01.02 «Физическая культура и спорт»,«Физическая культура и спорт»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,"1, 2",[],0.17727091949322996,0.6437724397020991,0.14191165444497858
2798,Б1.В.ДВ.01.01 «Электронные технологии предоставления государственных услуг»,«Электронные технологии предоставления государственных услуг»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,8,[],0.5615708065581095,0.608328226277291,0.38441641234207063
2799,Б1.О.03 «Логика и теория аргументации»,«Логика и теория аргументации»,«Управление государственными проектами и программами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.6200870745459496,0.4885769618696054,0.5668628409368954
2800,Б1.В.ДВ.14.03 «Парламентская деятельность»,«Парламентская деятельность»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,7,"['Государственное регулирование экономики', 'Политическая философия', 'Практикум ""Внутренняя политика""']",0.3137396864347845,0.5245391634708317,0.4531584283262054
2801,Б1.В.18.ДВ.04.0 «Управление социальными конфликтами»,«Управление социальными конфликтами»,«Государственная и муниципальная служба»,бакалавр,очная,2023,8,[],0.3519554198263914,0.5819185257378844,0.4778278548144063
2802,Б1.О.22 «Теория государства и права»,«Теория государства и права»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,1,[],0.43083691580443123,0.649858434679794,0.556151687411433
2803,Б1.В.ДВ.01.02 «Институты гражданского общества»,«Институты гражданского общества»,«Эффективное государственное управление»,бакалавр,очная,2023,3,[],0.4270716361019033,0.34574633341600963,0.5287157368548522
2804,Б1.В.13 «Трудовое право»,«Трудовое право»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,6,['Правоведение'],0.25276880737366597,0.39868298607960373,0.5659152845206123
2805,ФТД.05 «Правовые основы избирательного процесса»,«Правовые основы избирательного процесса»,«Государственная и муниципальная служба»,бакалавр,очная,2022,2,[],0.41363329541341676,0.3626703994349331,0.20205131797709217
2806,Б1.В.09.ДВ.08.0 «Государственное и муниципальное управление природопользованием и охраной окружающей среды»,«Государственное и муниципальное управление природопользованием и охраной окружающей среды»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,6,[],0.4042718286182547,0.3792546122018565,0.355031961199329
2807,Б1.О.19 «Этика государственной и муниципальной службы»,«Этика государственной и муниципальной службы»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,4,[],0.46745000117578905,0.5509743917032506,0.6813474700041655
2808,Б1.В.19 «Организация предоставления государственных и муниципальных услуг»,«Организация предоставления государственных и муниципальных услуг»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,8,"['Экономика общественного сектора', 'Государственное управление природопользованием', 'Экологическая политика', 'Социология политики']",0.29038335233199036,0.4548207150033165,0.40694534295486745
2809,Б1.О.06 «Иностранный язык»,«Иностранный язык»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2023,"3, 4, 1, 2",[],0.7238418864001701,0.865364599873164,0.5237133783022198
2810,Б1.В.12 «Информационное право»,«Информационное право»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,4,"['Стратегические платформы цифровых инноваций', 'Управленческие лаборатории и бизнес навыки']",0.7226952585338268,0.674426825357395,0.6228109378663844
2811,К.М.01.01 «Безопасность жизнедеятельности»,«Безопасность жизнедеятельности»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,1,[],0.21251727363479864,1.0,0.5685573604880675
2812,Б1.В.07 «Маркетинг территорий»,«Маркетинг территорий»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,7,"['Экономика государственного и муниципального сектора', 'Региональное управление и территориальное планирование']",0.3196287509097272,0.6143422181064518,0.5426146854580199
2813,ФТД.02 «Экономика инноваций»,«Экономика инноваций»,«Цифровое государство»,бакалавр,очная,2022,5,"['Микроэкономика', 'Макроэкономика', 'Прогнозирование и планирование', 'Цифровое государство и современные организации: основы управления']",0.5172773016175362,0.6179228735528224,0.5195223531157499
2814,Б1.О.24.01 «Цифровые технологии в менеджменте»,«Цифровые технологии в менеджменте»,«Управление государственными проектами и программами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,3,[],0.4057337513087717,0.0,0.6620635209538258
2815,К.М.01.03 «Элективные дисциплины (модули) по физической культуре и спорту»,«Элективные дисциплины (модули) по физической культуре и спорту»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,"3, 4, 2, 5, 6, 1",[],0.3099274436370235,0.6008587148458018,0.4484557042047046
2816,Б1.О.07 «Русский язык и культура речи»,«Русский язык и культура речи»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2022,2,[],0.5070191739938597,0.48765065107542604,0.4416261470780273
2817,Б1.О.24 «Административное право»,«Административное право»,«Эффективное государственное управление»,бакалавр,очная,2023,5,['Теория государства и права'],0.2938112324545669,0.5077555794061224,0.6933871618419843
2818,Б1.В.ДВ.10.01 «Государственное регулирование экономики»,«Государственное регулирование экономики»,«Цифровое государство»,бакалавр,очная,2023,7,"['Микроэкономика', 'Макроэкономика', 'Государственная гражданская и муниципальная служба в Российской Федерации']",0.3246618051643216,0.6786491467571838,0.5461093739960491
2819,К.М.10.07 «Государственно-частное партнерство»,«Государственно-частное партнерство»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,5,[],0.2686975918700535,0.3697727955246367,0.3601144479212909
2820,Б1.В.03 «Государственное регулирование миграционных и демографических процессов»,«Государственное регулирование миграционных и демографических процессов»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,8,[],0.26413728942603454,0.4849502777307715,0.5656504837189313
